SKU;Qtd_Vendida;Loja;Data_da_Venda;Codigo_Cliente
HL1018;3;Fortaleza;2016-01-02;781
HL1016;3;Rio de Janeiro;2016-01-02;571
HL1019;3;Porto Alegre;2016-01-02;218
HL1021;5;Guarulhos;2016-01-02;101
HL1008;2;Fortaleza;2016-01-02;802
HL1005;3;Salvador;2016-01-02;593
HL1005;4;Fortaleza;2016-01-02;458
HL1023;2;Salvador;2016-01-02;534
HL1013;3;Belo Horizonte;2016-01-02;742
HL1007;1;Campinas;2016-01-02;638
HL1013;1;Belo Horizonte;2016-01-03;21
HL1020;1;Rio de Janeiro;2016-01-03;29
HL1009;5;Guarulhos;2016-01-03;433
HL1020;4;Goiânia;2016-01-03;815
HL1010;1;Goiânia;2016-01-03;762
HL1003;3;São Paulo;2016-01-03;541
HL1012;3;Goiânia;2016-01-03;147
HL1010;4;Recife;2016-01-03;547
HL1021;1;Fortaleza;2016-01-03;519
HL1006;1;Curitiba;2016-01-03;705
HL1016;5;Campinas;2016-01-03;265
HL1006;2;São Paulo;2016-01-03;105
HL1001;2;Porto Alegre;2016-01-03;132
HL1018;3;Rio de Janeiro;2016-01-03;20
HL1008;4;Nova Iguaço;2016-01-03;690
HL1009;5;Porto Alegre;2016-01-03;780
HL1016;1;Goiânia;2016-01-03;674
HL1005;2;Guarulhos;2016-01-03;567
HL1020;4;Campinas;2016-01-03;347
HL1005;2;Salvador;2016-01-03;34
HL1019;4;Porto Alegre;2016-01-03;592
HL1019;4;Guarulhos;2016-01-03;102
HL1015;4;Goiânia;2016-01-03;518
HL1013;1;Porto Alegre;2016-01-03;221
HL1007;5;Rio de Janeiro;2016-01-03;694
HL1016;5;Salvador;2016-01-03;787
HL1001;4;Goiânia;2016-01-03;296
HL1006;4;Recife;2016-01-03;494
HL1006;5;Campinas;2016-01-04;635
HL1002;3;Rio de Janeiro;2016-01-04;20
HL1021;5;Guarulhos;2016-01-04;211
HL1021;2;Niterói;2016-01-04;549
HL1005;1;Rio de Janeiro;2016-01-04;374
HL1022;5;Niterói;2016-01-04;708
HL1001;2;Guarulhos;2016-01-04;501
HL1003;2;Niterói;2016-01-04;763
HL1012;4;Fortaleza;2016-01-04;458
HL1005;3;Guarulhos;2016-01-04;184
HL1014;2;Niterói;2016-01-04;549
HL1020;1;Porto Alegre;2016-01-04;129
HL1018;1;Belo Horizonte;2016-01-04;497
HL1004;2;Campinas;2016-01-04;199
HL1021;1;Rio de Janeiro;2016-01-04;28
HL1019;5;Recife;2016-01-04;158
HL1015;5;Guarulhos;2016-01-04;167
HL1015;2;Recife;2016-01-04;597
HL1006;5;Campinas;2016-01-04;110
HL1014;1;Campinas;2016-01-04;45
HL1013;5;Fortaleza;2016-01-04;279
HL1016;5;Salvador;2016-01-04;790
HL1016;1;Belo Horizonte;2016-01-04;379
HL1004;2;Guarulhos;2016-01-04;596
HL1016;1;Fortaleza;2016-01-04;657
HL1001;4;Curitiba;2016-01-04;560
HL1023;4;Fortaleza;2016-01-04;740
HL1022;3;Nova Iguaço;2016-01-04;25
HL1011;4;São Paulo;2016-01-05;748
HL1015;5;Porto Alegre;2016-01-05;785
HL1022;4;Recife;2016-01-05;653
HL1009;2;Fortaleza;2016-01-05;292
HL1005;2;Campinas;2016-01-05;427
HL1010;5;Niterói;2016-01-05;42
HL1003;4;Guarulhos;2016-01-05;62
HL1009;2;Niterói;2016-01-05;390
HL1018;1;Niterói;2016-01-05;381
HL1024;5;Guarulhos;2016-01-05;84
HL1001;1;São Paulo;2016-01-05;641
HL1007;2;Niterói;2016-01-05;276
HL1004;1;Guarulhos;2016-01-05;185
HL1004;2;Belo Horizonte;2016-01-05;220
HL1020;3;Porto Alegre;2016-01-05;515
HL1005;2;Belo Horizonte;2016-01-05;590
HL1009;5;Belo Horizonte;2016-01-05;391
HL1014;3;Fortaleza;2016-01-05;445
HL1009;2;Guarulhos;2016-01-05;457
HL1014;2;Recife;2016-01-06;814
HL1021;5;Nova Iguaço;2016-01-06;455
HL1004;4;São Paulo;2016-01-06;310
HL1024;5;Recife;2016-01-06;653
HL1010;4;Belo Horizonte;2016-01-06;359
HL1013;4;Salvador;2016-01-06;82
HL1014;2;Fortaleza;2016-01-06;288
HL1015;5;Porto Alegre;2016-01-06;386
HL1007;1;Campinas;2016-01-06;505
HL1012;1;São Paulo;2016-01-06;650
HL1010;5;Goiânia;2016-01-06;88
HL1009;4;Rio de Janeiro;2016-01-06;107
HL1023;4;São Paulo;2016-01-06;196
HL1001;5;Fortaleza;2016-01-06;781
HL1018;4;Fortaleza;2016-01-06;657
HL1019;3;Curitiba;2016-01-06;93
HL1012;3;Porto Alegre;2016-01-06;181
HL1023;1;Guarulhos;2016-01-06;433
HL1019;1;Nova Iguaço;2016-01-06;402
HL1008;3;Rio de Janeiro;2016-01-06;99
HL1003;3;Campinas;2016-01-06;289
HL1019;4;Rio de Janeiro;2016-01-07;362
HL1013;3;Rio de Janeiro;2016-01-07;259
HL1010;5;Curitiba;2016-01-07;812
HL1010;3;Nova Iguaço;2016-01-07;452
HL1010;4;Curitiba;2016-01-07;526
HL1007;1;Recife;2016-01-07;32
HL1008;5;Campinas;2016-01-07;656
HL1017;4;Guarulhos;2016-01-07;47
HL1012;3;Salvador;2016-01-07;54
HL1014;3;Recife;2016-01-07;70
HL1015;3;Guarulhos;2016-01-07;184
HL1017;2;Guarulhos;2016-01-07;496
HL1006;3;Curitiba;2016-01-07;238
HL1020;3;Fortaleza;2016-01-07;621
HL1005;4;Fortaleza;2016-01-07;157
HL1019;4;Fortaleza;2016-01-07;802
HL1015;2;Guarulhos;2016-01-07;126
HL1009;3;Fortaleza;2016-01-07;183
HL1007;5;São Paulo;2016-01-07;650
HL1019;1;Niterói;2016-01-07;632
HL1008;3;Fortaleza;2016-01-07;354
HL1014;5;Fortaleza;2016-01-07;507
HL1014;2;Fortaleza;2016-01-07;504
HL1008;5;Guarulhos;2016-01-07;491
HL1022;3;Curitiba;2016-01-07;345
HL1019;2;Curitiba;2016-01-08;1
HL1020;4;Curitiba;2016-01-08;714
HL1013;3;Goiânia;2016-01-08;296
HL1021;4;Campinas;2016-01-08;191
HL1005;3;Porto Alegre;2016-01-08;360
HL1018;5;Belo Horizonte;2016-01-08;542
HL1012;2;Nova Iguaço;2016-01-08;278
HL1017;1;Fortaleza;2016-01-08;157
HL1023;3;Salvador;2016-01-08;275
HL1024;4;Belo Horizonte;2016-01-08;154
HL1009;3;Guarulhos;2016-01-08;479
HL1012;1;Nova Iguaço;2016-01-08;604
HL1007;5;Porto Alegre;2016-01-08;525
HL1004;1;Rio de Janeiro;2016-01-09;744
HL1004;4;São Paulo;2016-01-09;145
HL1001;5;Recife;2016-01-09;820
HL1015;5;Curitiba;2016-01-09;95
HL1014;2;Salvador;2016-01-09;775
HL1023;1;Recife;2016-01-09;376
HL1004;1;Guarulhos;2016-01-09;205
HL1019;2;Fortaleza;2016-01-09;461
HL1005;5;Salvador;2016-01-09;156
HL1019;4;Goiânia;2016-01-09;466
HL1012;2;Rio de Janeiro;2016-01-09;298
HL1022;1;Niterói;2016-01-09;71
HL1022;5;Porto Alegre;2016-01-09;181
HL1015;4;Nova Iguaço;2016-01-09;223
HL1003;1;Belo Horizonte;2016-01-09;611
HL1005;1;Guarulhos;2016-01-09;83
HL1007;4;Salvador;2016-01-09;775
HL1022;5;Goiânia;2016-01-09;296
HL1024;2;Nova Iguaço;2016-01-09;402
HL1012;4;Campinas;2016-01-09;659
HL1001;4;Rio de Janeiro;2016-01-09;804
HL1011;3;Belo Horizonte;2016-01-10;520
HL1019;2;Guarulhos;2016-01-10;179
HL1024;1;Guarulhos;2016-01-10;356
HL1007;1;Niterói;2016-01-10;654
HL1002;5;São Paulo;2016-01-10;665
HL1006;5;Salvador;2016-01-10;109
HL1013;2;Guarulhos;2016-01-10;496
HL1010;3;Fortaleza;2016-01-10;363
HL1003;1;Nova Iguaço;2016-01-10;330
HL1008;2;Belo Horizonte;2016-01-10;391
HL1006;2;Guarulhos;2016-01-10;610
HL1016;3;Fortaleza;2016-01-10;802
HL1006;4;Rio de Janeiro;2016-01-10;134
HL1021;4;Guarulhos;2016-01-10;137
HL1006;5;Curitiba;2016-01-10;643
HL1022;4;Salvador;2016-01-10;15
HL1015;3;Porto Alegre;2016-01-10;132
HL1019;3;São Paulo;2016-01-10;408
HL1015;5;São Paulo;2016-01-10;424
HL1011;2;Guarulhos;2016-01-11;26
HL1005;3;Niterói;2016-01-11;654
HL1005;3;Niterói;2016-01-11;654
HL1007;3;Belo Horizonte;2016-01-11;154
HL1010;3;Guarulhos;2016-01-11;126
HL1007;3;São Paulo;2016-01-11;319
HL1003;1;São Paulo;2016-01-11;773
HL1001;4;Campinas;2016-01-11;563
HL1006;2;Campinas;2016-01-11;770
HL1021;3;Fortaleza;2016-01-11;286
HL1023;5;Porto Alegre;2016-01-11;620
HL1009;3;Porto Alegre;2016-01-11;64
HL1016;4;Rio de Janeiro;2016-01-11;259
HL1002;4;Guarulhos;2016-01-11;577
HL1021;3;Guarulhos;2016-01-11;630
HL1011;2;Guarulhos;2016-01-11;101
HL1021;2;São Paulo;2016-01-11;424
HL1022;3;Nova Iguaço;2016-01-11;575
HL1016;2;Guarulhos;2016-01-11;623
HL1024;2;Campinas;2016-01-12;607
HL1006;1;Salvador;2016-01-12;285
HL1023;5;Curitiba;2016-01-12;178
HL1004;2;Belo Horizonte;2016-01-12;786
HL1020;2;Curitiba;2016-01-12;7
HL1010;5;Rio de Janeiro;2016-01-12;443
HL1014;4;Recife;2016-01-12;729
HL1008;4;Campinas;2016-01-12;150
HL1003;2;Fortaleza;2016-01-12;599
HL1004;5;Guarulhos;2016-01-12;74
HL1006;1;Belo Horizonte;2016-01-12;421
HL1014;2;Belo Horizonte;2016-01-12;18
HL1020;5;Niterói;2016-01-12;222
HL1020;3;Nova Iguaço;2016-01-12;51
HL1020;3;Recife;2016-01-13;304
HL1002;1;Salvador;2016-01-13;245
HL1008;1;Fortaleza;2016-01-13;621
HL1008;3;Guarulhos;2016-01-13;496
HL1004;5;Curitiba;2016-01-13;442
HL1007;4;Fortaleza;2016-01-13;818
HL1021;2;Guarulhos;2016-01-13;101
HL1014;5;Recife;2016-01-13;513
HL1022;1;Guarulhos;2016-01-13;128
HL1019;2;Porto Alegre;2016-01-13;360
HL1007;2;Niterói;2016-01-13;42
HL1006;3;Guarulhos;2016-01-13;270
HL1003;1;Porto Alegre;2016-01-13;816
HL1022;2;São Paulo;2016-01-13;319
HL1008;3;Niterói;2016-01-13;473
HL1001;2;Recife;2016-01-13;268
HL1016;4;Campinas;2016-01-13;635
HL1009;2;Belo Horizonte;2016-01-13;388
HL1012;2;Salvador;2016-01-13;54
HL1010;4;Porto Alegre;2016-01-13;586
HL1017;5;Guarulhos;2016-01-13;207
HL1016;3;Recife;2016-01-13;509
HL1012;4;Fortaleza;2016-01-13;504
HL1010;4;Curitiba;2016-01-13;22
HL1022;4;Nova Iguaço;2016-01-13;455
HL1004;2;Fortaleza;2016-01-14;458
HL1023;1;Porto Alegre;2016-01-14;453
HL1017;2;Nova Iguaço;2016-01-14;530
HL1013;2;Guarulhos;2016-01-14;272
HL1024;1;Rio de Janeiro;2016-01-14;148
HL1001;1;Belo Horizonte;2016-01-14;590
HL1003;3;Belo Horizonte;2016-01-14;508
HL1010;2;Niterói;2016-01-14;273
HL1010;1;Salvador;2016-01-14;15
HL1020;4;Porto Alegre;2016-01-14;436
HL1012;1;Recife;2016-01-14;398
HL1018;2;São Paulo;2016-01-14;424
HL1003;3;São Paulo;2016-01-14;389
HL1013;4;Curitiba;2016-01-14;367
HL1003;4;Fortaleza;2016-01-14;818
HL1016;2;Belo Horizonte;2016-01-14;385
HL1024;1;São Paulo;2016-01-14;79
HL1011;3;Campinas;2016-01-14;766
HL1009;5;Nova Iguaço;2016-01-14;647
HL1002;1;Nova Iguaço;2016-01-15;25
HL1016;5;Niterói;2016-01-15;390
HL1014;3;Recife;2016-01-15;509
HL1023;5;Goiânia;2016-01-15;188
HL1011;2;Rio de Janeiro;2016-01-15;443
HL1013;2;Recife;2016-01-15;321
HL1024;3;Nova Iguaço;2016-01-15;516
HL1020;2;Porto Alegre;2016-01-15;221
HL1018;5;Salvador;2016-01-15;170
HL1016;3;Rio de Janeiro;2016-01-15;20
HL1013;5;Nova Iguaço;2016-01-15;281
HL1018;2;Recife;2016-01-15;380
HL1014;5;São Paulo;2016-01-15;773
HL1007;2;Rio de Janeiro;2016-01-15;771
HL1001;5;Fortaleza;2016-01-15;565
HL1007;2;Belo Horizonte;2016-01-15;21
HL1022;3;Recife;2016-01-15;513
HL1002;5;Nova Iguaço;2016-01-15;576
HL1005;1;Niterói;2016-01-15;73
HL1017;1;Nova Iguaço;2016-01-15;530
HL1016;4;Nova Iguaço;2016-01-15;13
HL1018;3;Rio de Janeiro;2016-01-15;336
HL1020;4;Nova Iguaço;2016-01-15;579
HL1001;4;Salvador;2016-01-15;247
HL1001;5;Nova Iguaço;2016-01-15;308
HL1009;5;Guarulhos;2016-01-15;137
HL1022;3;Niterói;2016-01-16;94
HL1020;1;Goiânia;2016-01-16;89
HL1013;3;São Paulo;2016-01-16;400
HL1002;1;Guarulhos;2016-01-16;212
HL1018;3;Recife;2016-01-16;676
HL1007;2;Porto Alegre;2016-01-16;733
HL1001;1;Goiânia;2016-01-16;679
HL1007;1;São Paulo;2016-01-16;450
HL1019;1;Guarulhos;2016-01-16;48
HL1018;2;Campinas;2016-01-16;96
HL1002;3;Recife;2016-01-16;335
HL1002;4;Campinas;2016-01-16;677
HL1002;3;Nova Iguaço;2016-01-16;604
HL1003;2;Porto Alegre;2016-01-16;64
HL1024;4;Campinas;2016-01-16;755
HL1007;1;Belo Horizonte;2016-01-16;186
HL1007;3;Niterói;2016-01-16;546
HL1003;1;Guarulhos;2016-01-16;211
HL1008;1;São Paulo;2016-01-17;773
HL1009;3;Fortaleza;2016-01-17;445
HL1021;5;Campinas;2016-01-17;678
HL1002;3;Rio de Janeiro;2016-01-17;213
HL1001;4;Niterói;2016-01-17;273
HL1013;5;Guarulhos;2016-01-17;128
HL1012;5;Rio de Janeiro;2016-01-17;694
HL1001;5;Curitiba;2016-01-17;66
HL1014;1;Salvador;2016-01-17;164
HL1012;2;Campinas;2016-01-17;677
HL1015;1;Rio de Janeiro;2016-01-17;107
HL1010;4;Niterói;2016-01-17;40
HL1015;3;São Paulo;2016-01-17;608
HL1003;1;Guarulhos;2016-01-17;153
HL1003;1;Guarulhos;2016-01-17;62
HL1008;3;Campinas;2016-01-17;510
HL1002;3;Goiânia;2016-01-18;723
HL1008;3;Goiânia;2016-01-18;469
HL1005;1;Rio de Janeiro;2016-01-18;326
HL1007;5;Niterói;2016-01-18;708
HL1019;5;Fortaleza;2016-01-18;130
HL1008;3;Recife;2016-01-18;597
HL1019;4;Rio de Janeiro;2016-01-18;377
HL1004;5;Belo Horizonte;2016-01-18;313
HL1017;3;Guarulhos;2016-01-18;122
HL1012;4;Niterói;2016-01-18;71
HL1015;4;Salvador;2016-01-18;712
HL1010;3;Goiânia;2016-01-18;8
HL1007;1;Guarulhos;2016-01-18;610
HL1016;1;Rio de Janeiro;2016-01-18;531
HL1021;5;Guarulhos;2016-01-18;372
HL1001;4;Rio de Janeiro;2016-01-18;537
HL1008;4;Porto Alegre;2016-01-18;586
HL1013;5;Campinas;2016-01-18;108
HL1012;5;Campinas;2016-01-18;192
HL1024;1;Porto Alegre;2016-01-18;200
HL1013;5;Nova Iguaço;2016-01-18;25
HL1012;2;Curitiba;2016-01-18;22
HL1008;1;Salvador;2016-01-18;799
HL1007;5;Niterói;2016-01-18;710
HL1024;4;Recife;2016-01-18;449
HL1011;2;Nova Iguaço;2016-01-18;9
HL1006;2;Fortaleza;2016-01-18;292
HL1019;1;Nova Iguaço;2016-01-19;149
HL1020;5;Curitiba;2016-01-19;343
HL1008;4;Porto Alegre;2016-01-19;371
HL1001;3;Goiânia;2016-01-19;315
HL1014;2;Curitiba;2016-01-19;239
HL1005;4;Campinas;2016-01-19;150
HL1004;2;Campinas;2016-01-19;722
HL1010;4;Salvador;2016-01-19;237
HL1012;1;São Paulo;2016-01-19;303
HL1009;3;Salvador;2016-01-19;245
HL1014;5;Guarulhos;2016-01-19;610
HL1020;2;Recife;2016-01-19;144
HL1010;3;Nova Iguaço;2016-01-19;782
HL1004;1;Guarulhos;2016-01-19;600
HL1004;1;Recife;2016-01-19;459
HL1023;4;Belo Horizonte;2016-01-19;58
HL1017;3;Recife;2016-01-20;820
HL1019;4;Fortaleza;2016-01-20;687
HL1002;3;Salvador;2016-01-20;275
HL1010;4;Guarulhos;2016-01-20;260
HL1019;2;Salvador;2016-01-20;216
HL1018;1;Campinas;2016-01-20;257
HL1016;4;Guarulhos;2016-01-20;294
HL1001;5;Fortaleza;2016-01-20;255
HL1017;4;Guarulhos;2016-01-20;212
HL1002;2;Campinas;2016-01-20;309
HL1023;1;Salvador;2016-01-20;675
HL1016;4;Campinas;2016-01-20;670
HL1011;4;Niterói;2016-01-20;523
HL1013;5;Guarulhos;2016-01-20;122
HL1017;5;Campinas;2016-01-20;257
HL1009;4;Rio de Janeiro;2016-01-21;121
HL1024;1;Rio de Janeiro;2016-01-21;589
HL1001;2;Nova Iguaço;2016-01-21;307
HL1023;4;Recife;2016-01-21;322
HL1023;3;São Paulo;2016-01-21;665
HL1011;4;Niterói;2016-01-21;710
HL1008;4;Salvador;2016-01-21;800
HL1021;3;Salvador;2016-01-21;247
HL1005;2;Niterói;2016-01-21;40
HL1009;1;Rio de Janeiro;2016-01-21;407
HL1016;4;Nova Iguaço;2016-01-21;680
HL1021;4;Salvador;2016-01-21;752
HL1020;3;Fortaleza;2016-01-21;269
HL1011;3;Belo Horizonte;2016-01-21;180
HL1024;5;Nova Iguaço;2016-01-21;43
HL1021;1;Recife;2016-01-21;32
HL1019;3;Goiânia;2016-01-21;162
HL1016;1;Belo Horizonte;2016-01-21;497
HL1017;1;Nova Iguaço;2016-01-21;455
HL1002;2;Nova Iguaço;2016-01-21;278
HL1012;1;Fortaleza;2016-01-21;183
HL1013;5;Rio de Janeiro;2016-01-22;443
HL1010;4;Fortaleza;2016-01-22;458
HL1014;3;Campinas;2016-01-22;59
HL1015;2;Goiânia;2016-01-22;512
HL1013;1;Nova Iguaço;2016-01-22;516
HL1016;5;Recife;2016-01-22;768
HL1024;5;Belo Horizonte;2016-01-22;23
HL1017;2;Campinas;2016-01-22;45
HL1019;3;Recife;2016-01-22;227
HL1012;5;Niterói;2016-01-22;10
HL1022;2;Rio de Janeiro;2016-01-22;694
HL1003;4;Niterói;2016-01-22;273
HL1019;5;Guarulhos;2016-01-22;67
HL1004;5;Salvador;2016-01-22;16
HL1012;5;Porto Alegre;2016-01-22;360
HL1020;2;Porto Alegre;2016-01-22;525
HL1001;3;Salvador;2016-01-22;237
HL1001;1;São Paulo;2016-01-22;698
HL1020;5;Fortaleza;2016-01-22;354
HL1002;2;Recife;2016-01-23;566
HL1003;3;Guarulhos;2016-01-23;433
HL1024;2;Guarulhos;2016-01-23;302
HL1018;4;Rio de Janeiro;2016-01-23;771
HL1023;3;São Paulo;2016-01-23;429
HL1011;3;Rio de Janeiro;2016-01-23;3
HL1014;3;Guarulhos;2016-01-23;205
HL1011;3;Guarulhos;2016-01-23;337
HL1016;2;Curitiba;2016-01-23;66
HL1015;5;Rio de Janeiro;2016-01-23;155
HL1014;1;Guarulhos;2016-01-23;306
HL1011;4;Niterói;2016-01-23;688
HL1001;5;Rio de Janeiro;2016-01-23;284
HL1017;4;Guarulhos;2016-01-23;596
HL1012;4;Guarulhos;2016-01-23;122
HL1005;2;Belo Horizonte;2016-01-24;470
HL1011;4;Salvador;2016-01-24;769
HL1011;5;Guarulhos;2016-01-24;214
HL1007;1;Rio de Janeiro;2016-01-24;195
HL1024;2;Curitiba;2016-01-24;493
HL1007;1;Goiânia;2016-01-24;762
HL1017;5;Recife;2016-01-24;197
HL1019;4;Niterói;2016-01-24;434
HL1023;3;Salvador;2016-01-24;285
HL1013;4;São Paulo;2016-01-24;725
HL1003;2;Rio de Janeiro;2016-01-24;652
HL1010;4;Salvador;2016-01-24;700
HL1022;2;Belo Horizonte;2016-01-24;786
HL1009;4;Porto Alegre;2016-01-24;386
HL1016;3;Nova Iguaço;2016-01-24;124
HL1009;2;Curitiba;2016-01-24;63
HL1003;3;Goiânia;2016-01-24;815
HL1010;1;Recife;2016-01-25;254
HL1011;3;Guarulhos;2016-01-25;465
HL1020;1;Fortaleza;2016-01-25;163
HL1008;1;Curitiba;2016-01-25;560
HL1005;3;Rio de Janeiro;2016-01-25;804
HL1002;4;Salvador;2016-01-25;800
HL1013;2;Goiânia;2016-01-25;296
HL1020;1;Niterói;2016-01-25;763
HL1018;5;Fortaleza;2016-01-25;802
HL1008;5;Recife;2016-01-25;106
HL1007;2;Goiânia;2016-01-25;351
HL1008;4;Fortaleza;2016-01-25;269
HL1010;5;Fortaleza;2016-01-25;171
HL1023;4;São Paulo;2016-01-25;235
HL1002;4;Belo Horizonte;2016-01-25;742
HL1012;1;Curitiba;2016-01-25;619
HL1013;5;Nova Iguaço;2016-01-26;490
HL1015;1;Goiânia;2016-01-26;723
HL1007;5;Campinas;2016-01-26;766
HL1018;3;Porto Alegre;2016-01-26;664
HL1023;5;Curitiba;2016-01-26;619
HL1016;3;Nova Iguaço;2016-01-26;223
HL1002;3;Curitiba;2016-01-26;720
HL1014;1;Belo Horizonte;2016-01-26;313
HL1011;5;Salvador;2016-01-26;168
HL1010;1;São Paulo;2016-01-26;224
HL1011;2;Belo Horizonte;2016-01-26;497
HL1002;2;Recife;2016-01-26;254
HL1014;5;Recife;2016-01-26;566
HL1012;2;Niterói;2016-01-26;454
HL1011;5;São Paulo;2016-01-26;698
HL1003;4;Fortaleza;2016-01-26;818
HL1017;4;Goiânia;2016-01-27;177
HL1017;3;Rio de Janeiro;2016-01-27;545
HL1023;1;Guarulhos;2016-01-27;356
HL1003;3;Guarulhos;2016-01-27;179
HL1022;3;Recife;2016-01-27;777
HL1008;3;São Paulo;2016-01-27;303
HL1019;5;Belo Horizonte;2016-01-27;379
HL1024;5;Fortaleza;2016-01-27;130
HL1016;1;Guarulhos;2016-01-27;561
HL1010;5;Curitiba;2016-01-27;637
HL1024;5;Niterói;2016-01-27;73
HL1010;4;Nova Iguaço;2016-01-27;223
HL1022;4;Guarulhos;2016-01-27;141
HL1005;4;Niterói;2016-01-27;350
HL1004;5;Niterói;2016-01-27;807
HL1008;3;Niterói;2016-01-27;228
HL1007;1;Niterói;2016-01-27;809
HL1009;1;Guarulhos;2016-01-27;290
HL1011;2;Porto Alegre;2016-01-28;668
HL1024;3;Porto Alegre;2016-01-28;221
HL1010;3;Belo Horizonte;2016-01-28;415
HL1017;1;Campinas;2016-01-28;656
HL1004;2;São Paulo;2016-01-28;406
HL1009;5;Porto Alegre;2016-01-28;129
HL1024;1;Fortaleza;2016-01-28;279
HL1007;3;Belo Horizonte;2016-01-28;359
HL1016;1;Nova Iguaço;2016-01-28;283
HL1017;3;Porto Alegre;2016-01-28;115
HL1024;1;Fortaleza;2016-01-28;366
HL1020;5;Campinas;2016-01-28;289
HL1016;3;Niterói;2016-01-28;798
HL1015;1;Recife;2016-01-28;321
HL1018;1;Belo Horizonte;2016-01-28;721
HL1001;4;Campinas;2016-01-28;59
HL1002;2;Niterói;2016-01-28;763
HL1004;3;Nova Iguaço;2016-01-29;14
HL1018;1;Fortaleza;2016-01-29;288
HL1007;4;Belo Horizonte;2016-01-29;651
HL1005;4;Guarulhos;2016-01-29;344
HL1017;3;Fortaleza;2016-01-29;471
HL1001;2;Campinas;2016-01-29;709
HL1015;5;Guarulhos;2016-01-29;491
HL1021;5;Guarulhos;2016-01-29;287
HL1012;3;São Paulo;2016-01-29;224
HL1005;5;São Paulo;2016-01-29;540
HL1020;5;Belo Horizonte;2016-01-29;385
HL1023;1;Goiânia;2016-01-29;425
HL1023;2;Curitiba;2016-01-29;240
HL1013;1;Porto Alegre;2016-01-29;267
HL1004;3;Curitiba;2016-01-29;714
HL1023;2;Goiânia;2016-01-29;738
HL1017;2;Nova Iguaço;2016-01-29;690
HL1006;4;Niterói;2016-01-29;94
HL1018;5;Campinas;2016-01-29;635
HL1002;3;Nova Iguaço;2016-01-29;569
HL1011;2;Guarulhos;2016-01-29;67
HL1013;5;Goiânia;2016-01-29;352
HL1009;3;Goiânia;2016-01-29;177
HL1007;5;Belo Horizonte;2016-01-30;786
HL1005;2;Recife;2016-01-30;277
HL1012;5;Campinas;2016-01-30;192
HL1009;1;Belo Horizonte;2016-01-30;421
HL1011;4;Campinas;2016-01-30;243
HL1006;5;São Paulo;2016-01-30;53
HL1007;2;Campinas;2016-01-30;201
HL1004;5;Curitiba;2016-01-30;812
HL1002;4;Belo Horizonte;2016-01-30;520
HL1014;5;Porto Alegre;2016-01-30;746
HL1008;4;São Paulo;2016-01-30;50
HL1005;2;Campinas;2016-01-30;262
HL1012;3;Nova Iguaço;2016-01-30;9
HL1023;1;Recife;2016-01-30;597
HL1019;1;Guarulhos;2016-01-30;417
HL1014;4;Guarulhos;2016-01-30;337
HL1015;4;Goiânia;2016-01-30;562
HL1011;5;Salvador;2016-01-30;646
HL1014;2;Campinas;2016-01-30;639
HL1010;1;Nova Iguaço;2016-01-30;278
HL1012;5;São Paulo;2016-01-30;406
HL1021;3;Nova Iguaço;2016-01-30;472
HL1003;2;Goiânia;2016-01-31;147
HL1008;1;Campinas;2016-01-31;96
HL1007;2;Guarulhos;2016-01-31;318
HL1003;2;Guarulhos;2016-01-31;184
